,node1,node2,cosine_score,jaccard_score,lhn1_score,co-occurrence_count
0,1388,475,0.13,0.03,0.02,1
1,475,1722,0.14,0.08,0.00,1
2,1722,1859,0.17,0.06,0.01,1
3,1859,1696,0.43,0.43,0.06,1
4,1696,2288,0.05,0.02,0.00,1
5,2288,2257,0.11,0.03,0.01,1
6,2257,2250,0.40,0.40,0.08,1
7,2250,2282,0.26,0.14,0.07,1
8,2282,2250,0.26,0.14,0.07,1
9,2250,1464,0.10,0.04,0.01,1
10,1464,412,0.12,0.04,0.02,1
11,412,1464,0.12,0.04,0.02,1
12,1464,1466,0.30,0.13,0.01,1
13,1466,1406,0.38,0.15,0.01,1
14,1406,1444,0.38,0.16,0.01,1
15,1444,1447,0.59,0.35,0.02,1
16,1447,1420,0.67,0.33,0.03,1
17,1420,1441,0.42,0.20,0.02,1
18,1441,1477,0.60,0.52,0.03,1
19,1477,1441,0.60,0.52,0.03,1
20,1441,1466,0.50,0.21,0.01,1
21,1466,476,0.03,0.02,0.00,1
22,476,2288,0.12,0.11,0.00,1
23,2288,2316,0.15,0.08,0.00,1
24,2316,1540,0.38,0.18,0.01,1
25,1540,1470,0.32,0.16,0.01,1
26,1470,1681,0.28,0.14,0.02,1
27,1681,1658,0.47,0.39,0.02,1
28,1658,1628,0.37,0.18,0.01,1
29,1628,1628,1.00,1.00,0.03,1
30,1628,1607,0.31,0.15,0.01,1
31,1607,293,0.26,0.09,0.03,1
32,293,275,0.47,0.29,0.11,1
33,275,1647,0.18,0.05,0.01,1
34,1647,1527,0.31,0.15,0.01,1
35,1527,1645,0.34,0.20,0.01,1
36,1645,1638,0.58,0.58,0.01,1
37,1638,1685,0.69,0.56,0.02,1
38,1685,2214,0.07,0.03,0.01,1
39,2214,2125,0.00,0.00,0.00,1
40,2125,2214,0.00,0.00,0.00,1
41,2214,667,0.11,0.05,0.01,1
42,667,662,0.20,0.09,0.02,1
43,662,12,0.26,0.14,0.03,1
44,12,1065,0.24,0.13,0.03,1
45,1065,12,0.24,0.13,0.03,1
46,12,667,0.31,0.15,0.02,1
47,667,975,0.15,0.13,0.01,1
48,975,1545,0.69,0.39,0.04,1
49,1545,999,0.71,0.39,0.04,1
50,999,283,0.14,0.06,0.01,1
51,283,961,0.27,0.13,0.04,1
52,961,283,0.27,0.13,0.04,1
53,283,470,0.15,0.08,0.02,1
54,470,283,0.15,0.08,0.02,1
55,283,999,0.14,0.06,0.01,1
56,999,968,0.19,0.09,0.02,1
57,968,932,0.19,0.09,0.02,1
58,932,850,0.10,0.04,0.01,1
